fips,county_name,state_name,mean_addiction_deaths,total_pov,child_pov,mhi,rural_urban,pct_no_hs,pct_hs,pct_bach,census_2020_pop,n_pop_chg_2021,domestic_mig_2021,unemployment_rate_2021,unemployment_rate_2022,addiction_pc
1001,Autauga,Alabama,10.0,10.7,16.1,66444.0,2.0,9.7,32.7,28.3,58805.0,288.0,242.0,2.8,2.2,0.00017005356687356519
1003,Baldwin,Alabama,71.5925925925926,10.8,16.4,65658.0,3.0,8.3,27.5,32.8,231767.0,6212.0,6972.0,2.9,2.3,0.00030889899162776666
1005,Barbour,Alabama,0.0,23.0,35.1,38649.0,6.0,22.2,37.6,11.5,25223.0,-436.0,-313.0,5.5,4.0,0.0
1007,Bibb,Alabama,10.88888888888889,20.6,29.0,48454.0,1.0,19.7,41.1,11.5,22293.0,171.0,254.0,3.4,2.4,0.0004884443048889288
1009,Blount,Alabama,15.0,12.0,16.7,56894.0,1.0,17.3,35.6,15.6,59134.0,-28.0,141.0,2.4,2.2,0.00025366117631142826
1011,Bullock,Alabama,3.4814814814814814,32.1,41.7,32027.0,8.0,26.0,40.6,9.0,10357.0,-86.0,-42.0,3.9,2.8,0.00033614767611098596
1013,Butler,Alabama,0.0,22.7,34.2,39442.0,6.0,12.4,47.0,13.8,19051.0,-135.0,-75.0,5.1,3.3,0.0
1015,Calhoun,Alabama,40.94444444444444,19.2,25.2,48166.0,3.0,13.9,34.5,20.5,116441.0,-565.0,-70.0,4.0,3.0,0.00035163253874876066
1017,Chambers,Alabama,10.666666666666666,19.7,32.2,45447.0,6.0,16.4,38.5,14.6,34772.0,-163.0,-6.0,3.6,2.5,0.0003067602285363702
1019,Cherokee,Alabama,10.0,18.2,26.6,46365.0,8.0,16.1,37.4,15.9,24971.0,105.0,284.0,2.5,2.3,0.0004004645388650835
1021,Chilton,Alabama,14.9,15.5,22.4,55142.0,1.0,15.8,41.2,15.2,45014.0,202.0,289.0,2.8,2.2,0.00033100813080375
1023,Choctaw,Alabama,0.0,23.3,32.4,40601.0,9.0,15.8,40.5,13.9,12665.0,-78.0,-12.0,4.3,3.7,0.0
1025,Clarke,Alabama,0.0,19.4,29.2,45447.0,9.0,14.7,42.4,15.4,23087.0,-247.0,-120.0,5.8,4.9,0.0
